match_id,team1,team2,venue,first_innings_team,is_team1_batting_first,home_advantage,h2h_win_rate,recent_form_t1,recent_form_t2,team1_overall_win_rate,team2_overall_win_rate,avg_score_venue,toss_venue_win_rate,venue_win_rate_t1,venue_win_rate_t2,t1_top_batsmen_avg,t2_top_batsmen_avg,t1_top_bowler_econ,t2_top_bowler_econ,team1_won
1413,West Indies,India,Queen's Park Oval,India,0,0,1,0.4,0.5,0.414,0.538,160.9,0.491,0.5285,0.5,0,24.5,7.25,6.98,0
1409,England,Sri Lanka,County Ground,England,1,0,0.5,0.8,0.5,0.5,0.562,160.9,0.494,0.5285,0.5,5,24.5,8.64,6.98,0
1416,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,1,0,0.5,0.6,0.5,0.576,0.537,160.9,0.491,0.5285,0.5,25.1,24.6,6.94,6.98,1
1417,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,1,0,0.6,0.7,0.4,0.588,0.524,160.9,0.494,0.5285,0.5,25.1,24.6,6.94,6.98,1
1410,England,India,Old Trafford,India,0,0,0.5,0.8,0.6,0.486,0.556,160.9,0.497,0.5285,0.5,5,24.5,8.64,6.98,1
1426,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,0,0,0.5,0.222,0.3,0.222,0.581,160.9,0.494,0.5285,0.5,15.5,14.75,7.25,6.55,0
1427,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,0,0,0,0.2,0.3,0.2,0.591,160.9,0.497,0,0.5,15.5,14.75,7.25,6.55,0
1428,England,West Indies,Kennington Oval,West Indies,0,0,0.2,0.8,0.4,0.5,0.4,162.8,0.545,0.5,0.5,5,0,8.64,9.17,1
1429,England,West Indies,Kennington Oval,West Indies,0,0,0.333,0.8,0.4,0.513,0.387,159.7,0.5,0.6,0.429,5,19.5,8.64,9.5,0
1414,South Africa,Australia,Newlands,South Africa,1,0,0.5,0.7,0.3,0.639,0.512,140.7,0.222,0.5285,0.75,20.5,24.6,6.94,6.98,0
